order_id,batch_id,trader_id,symbol,side,price,quantity,timestamp
order_00000601,batch_0003,trader_0023,ETH-USD,BUY,2001.01,703,2026-01-01T00:10:00Z
order_00000602,batch_0003,trader_0010,ETH-USD,SELL,1846.97,707,2026-01-01T00:10:01Z
order_00000603,batch_0003,trader_0005,ETH-USD,BUY,1887.65,227,2026-01-01T00:10:02Z
order_00000604,batch_0003,trader_0020,ETH-USD,BUY,2099.09,466,2026-01-01T00:10:03Z
order_00000605,batch_0003,trader_0016,ETH-USD,BUY,2019.69,719,2026-01-01T00:10:04Z
order_00000606,batch_0003,trader_0007,ETH-USD,SELL,2065.64,822,2026-01-01T00:10:05Z
order_00000607,batch_0003,trader_0003,ETH-USD,SELL,2101.9,697,2026-01-01T00:10:06Z
order_00000608,batch_0003,trader_0003,ETH-USD,SELL,2081.51,541,2026-01-01T00:10:07Z
order_00000609,batch_0003,trader_0018,ETH-USD,SELL,1824.7,115,2026-01-01T00:10:08Z
order_00000610,batch_0003,trader_0005,ETH-USD,SELL,2029.08,208,2026-01-01T00:10:09Z
order_00000611,batch_0003,trader_0004,ETH-USD,BUY,2008.14,875,2026-01-01T00:10:10Z
order_00000612,batch_0003,trader_0003,ETH-USD,SELL,2033.26,735,2026-01-01T00:10:11Z
order_00000613,batch_0003,trader_0015,ETH-USD,SELL,2123.48,457,2026-01-01T00:10:12Z
order_00000614,batch_0003,trader_0002,ETH-USD,BUY,1982.72,426,2026-01-01T00:10:13Z
order_00000615,batch_0003,trader_0024,ETH-USD,SELL,2122.77,689,2026-01-01T00:10:14Z
order_00000616,batch_0003,trader_0024,ETH-USD,BUY,2126.58,261,2026-01-01T00:10:15Z
order_00000617,batch_0003,trader_0012,ETH-USD,BUY,1818.12,75,2026-01-01T00:10:16Z
order_00000618,batch_0003,trader_0003,ETH-USD,SELL,2197.65,555,2026-01-01T00:10:17Z
order_00000619,batch_0003,trader_0014,ETH-USD,SELL,1812.69,484,2026-01-01T00:10:18Z
order_00000620,batch_0003,trader_0024,ETH-USD,BUY,2106.33,139,2026-01-01T00:10:19Z
order_00000621,batch_0003,trader_0013,ETH-USD,SELL,1949.78,431,2026-01-01T00:10:20Z
order_00000622,batch_0003,trader_0013,ETH-USD,BUY,2162.71,940,2026-01-01T00:10:21Z
order_00000623,batch_0003,trader_0018,ETH-USD,BUY,2064.72,988,2026-01-01T00:10:22Z
order_00000624,batch_0003,trader_0006,ETH-USD,BUY,1939.11,881,2026-01-01T00:10:23Z
order_00000625,batch_0003,trader_0024,ETH-USD,SELL,2011.54,403,2026-01-01T00:10:24Z
order_00000626,batch_0003,trader_0001,ETH-USD,SELL,1801.39,855,2026-01-01T00:10:25Z
order_00000627,batch_0003,trader_0018,ETH-USD,SELL,2069.4,475,2026-01-01T00:10:26Z
order_00000628,batch_0003,trader_0008,ETH-USD,BUY,2129.34,389,2026-01-01T00:10:27Z
order_00000629,batch_0003,trader_0024,ETH-USD,BUY,1910.26,159,2026-01-01T00:10:28Z
order_00000630,batch_0003,trader_0014,ETH-USD,SELL,2123.79,33,2026-01-01T00:10:29Z
order_00000631,batch_0003,trader_0001,ETH-USD,SELL,2153.5,959,2026-01-01T00:10:30Z
order_00000632,batch_0003,trader_0002,ETH-USD,BUY,1840.36,69,2026-01-01T00:10:31Z
order_00000633,batch_0003,trader_0002,ETH-USD,BUY,2081.31,689,2026-01-01T00:10:32Z
order_00000634,batch_0003,trader_0008,ETH-USD,BUY,1960.91,46,2026-01-01T00:10:33Z
order_00000635,batch_0003,trader_0002,ETH-USD,SELL,2145.49,773,2026-01-01T00:10:34Z
order_00000636,batch_0003,trader_0024,ETH-USD,BUY,1893.66,297,2026-01-01T00:10:35Z
order_00000637,batch_0003,trader_0022,ETH-USD,SELL,2039.17,592,2026-01-01T00:10:36Z
order_00000638,batch_0003,trader_0005,ETH-USD,SELL,1920.71,243,2026-01-01T00:10:37Z
