variant,batch_id,batch_size,total_runtime_s_mean,total_runtime_s_median,total_runtime_s_std,throughput_orders_per_second_mean,matched_volume,matched_trades_count,unmatched_orders_count,correctness_pass,relative_slowdown_vs_plaintext,runtime_overhead_s_vs_plaintext,runtime_overhead_percent_vs_plaintext,privacy_layer,auditability_layer,blockchain_enabled,encryption_enabled
paillier_phe,batch_0001,100,75.37537568099992,75.37537568099992,0.0,1.3266932217122902,23008,0,0,True,452.6811395888357,75.20886691999993,45168.11395888357,encryption,none,False,True
paillier_phe,batch_0002,500,373.8018437630001,373.8018437630001,0.0,1.337607099436922,123887,0,0,True,2152.4382644134325,373.6281793890001,215143.82644134326,encryption,none,False,True
paillier_phe,batch_0003,1000,755.729268953,755.729268953,0.0,1.3232251827237242,247872,0,0,True,3918.7879019765223,755.536421244,391778.7901976523,encryption,none,False,True
paillier_phe,batch_0004,5000,3793.956685298,3793.956685298,0.0,1.3178853673726827,1236942,0,0,True,11669.758373751412,3793.6315751660004,1166875.8373751414,encryption,none,False,True
paillier_phe,batch_0005,10000,7877.279734705999,7877.279734705999,0.0,1.269473769725562,2517909,0,0,True,15702.092528840707,7876.778064006999,1570109.2528840706,encryption,none,False,True
paillier_phe_blockchain,batch_0001,100,73.08982631199979,73.08982631199979,0.0,1.3681794723813996,23008,0,0,False,438.95483861059296,72.9233175509998,43795.48386105929,encryption,blockchain,True,True
paillier_phe_blockchain,batch_0002,500,488.7007779500018,488.7007779500018,0.0,1.0231209414018043,123887,0,0,True,2814.053145695896,488.5271135760018,281305.3145695896,encryption,blockchain,True,True
paillier_phe_blockchain,batch_0003,1000,888.1060598639997,888.1060598639997,0.0,1.1259916413059214,247872,0,0,True,4605.219654769683,887.9132121549998,460421.9654769683,encryption,blockchain,True,True
paillier_phe_blockchain,batch_0004,5000,3960.324544269999,3960.324544269999,0.0,1.2625227917833797,1236942,0,0,True,12181.48607029708,3959.999434137999,1218048.6070297079,encryption,blockchain,True,True
paillier_phe_blockchain,batch_0005,10000,8593.385623636,8593.385623636,0.0,1.1636857040949171,2517909,0,0,True,17129.53465443716,8592.883952937002,1712853.4654437164,encryption,blockchain,True,True
plaintext,batch_0001,100,0.1665087609999886,0.1665087609999886,0.0,600.5689994895031,13911,58,42,True,1.0,0.0,0.0,none,none,False,False
plaintext,batch_0002,500,0.1736643739999976,0.1736643739999976,0.0,2879.1167035790927,63799,243,257,True,1.0,0.0,0.0,none,none,False,False
plaintext,batch_0003,1000,0.1928477089999773,0.1928477089999773,0.0,5185.438837648402,125172,491,508,True,1.0,0.0,0.0,none,none,False,False
plaintext,batch_0004,5000,0.3251101319999634,0.3251101319999634,0.0,15379.40380154182,628619,2515,2483,True,1.0,0.0,0.0,none,none,False,False
plaintext,batch_0005,10000,0.5016706989999875,0.5016706989999875,0.0,19933.394595167,1275479,4951,5040,True,1.0,0.0,0.0,none,none,False,False
plaintext_blockchain,batch_0001,100,106.30357973699996,106.30357973699996,0.0,0.9407020934516476,13911,58,42,True,638.4263452480271,106.13707097599998,63742.634524802714,none,blockchain,True,False
plaintext_blockchain,batch_0002,500,107.97623451000004,107.97623451000004,0.0,4.63064860771463,63799,243,257,True,621.7523607346291,107.80257013600004,62075.236073462904,none,blockchain,True,False
plaintext_blockchain,batch_0003,1000,107.96326453999995,107.96326453999995,0.0,9.2624098044896,125172,491,508,True,559.8369049850245,107.77041683099998,55883.69049850245,none,blockchain,True,False
plaintext_blockchain,batch_0004,5000,107.94361062500012,107.94361062500012,0.0,46.32048132399586,628619,2515,2483,True,332.02167511965536,107.61850049300016,33102.167511965534,none,blockchain,True,False
plaintext_blockchain,batch_0005,10000,108.00048656500007,108.00048656500007,0.0,92.59217544340878,1275479,4951,5040,True,215.28163151701781,107.49881586600009,21428.16315170178,none,blockchain,True,False
