batch_id,batch_size,baseline_matched_volume,variant,variant_matched_volume,matched_volume_difference,baseline_matched_trades_count,variant_matched_trades_count,matched_trades_difference,baseline_unmatched_orders_count,variant_unmatched_orders_count,unmatched_orders_difference,input_hash_match,trades_hash_match,unmatched_hash_match,correctness_pass
batch_0001,100,13911,paillier_phe,23008,9097,58,0,-58,42,0,-42,True,,,True
batch_0002,500,63799,paillier_phe,123887,60088,243,0,-243,257,0,-257,True,,,True
batch_0003,1000,125172,paillier_phe,247872,122700,491,0,-491,508,0,-508,True,,,True
batch_0004,5000,628619,paillier_phe,1236942,608323,2515,0,-2515,2483,0,-2483,True,,,True
batch_0005,10000,1275479,paillier_phe,2517909,1242430,4951,0,-4951,5040,0,-5040,True,,,True
batch_0001,100,13911,paillier_phe_blockchain,23008,9097,58,0,-58,42,0,-42,True,,,False
batch_0002,500,63799,paillier_phe_blockchain,123887,60088,243,0,-243,257,0,-257,True,,,True
batch_0003,1000,125172,paillier_phe_blockchain,247872,122700,491,0,-491,508,0,-508,True,,,True
batch_0004,5000,628619,paillier_phe_blockchain,1236942,608323,2515,0,-2515,2483,0,-2483,True,,,True
batch_0005,10000,1275479,paillier_phe_blockchain,2517909,1242430,4951,0,-4951,5040,0,-5040,True,,,True
batch_0001,100,13911,plaintext,13911,0,58,58,0,42,42,0,True,,,True
batch_0002,500,63799,plaintext,63799,0,243,243,0,257,257,0,True,,,True
batch_0003,1000,125172,plaintext,125172,0,491,491,0,508,508,0,True,,,True
batch_0004,5000,628619,plaintext,628619,0,2515,2515,0,2483,2483,0,True,,,True
batch_0005,10000,1275479,plaintext,1275479,0,4951,4951,0,5040,5040,0,True,,,True
batch_0001,100,13911,plaintext_blockchain,13911,0,58,58,0,42,42,0,True,,,True
batch_0002,500,63799,plaintext_blockchain,63799,0,243,243,0,257,257,0,True,,,True
batch_0003,1000,125172,plaintext_blockchain,125172,0,491,491,0,508,508,0,True,,,True
batch_0004,5000,628619,plaintext_blockchain,628619,0,2515,2515,0,2483,2483,0,True,,,True
batch_0005,10000,1275479,plaintext_blockchain,1275479,0,4951,4951,0,5040,5040,0,True,,,True
