order_id,batch_id,trader_id,symbol,side,price,quantity,timestamp
order_00000001,batch_0001,trader_0008,ETH-USD,SELL,2096.62,26,2026-01-01T00:00:00Z
order_00000002,batch_0001,trader_0024,ETH-USD,BUY,1841.0,755,2026-01-01T00:00:01Z
order_00000003,batch_0001,trader_0002,ETH-USD,SELL,2036.2,90,2026-01-01T00:00:02Z
order_00000004,batch_0001,trader_0020,ETH-USD,BUY,1893.06,224,2026-01-01T00:00:03Z
order_00000005,batch_0001,trader_0023,ETH-USD,BUY,2086.41,204,2026-01-01T00:00:04Z
order_00000006,batch_0001,trader_0009,ETH-USD,SELL,1979.68,226,2026-01-01T00:00:05Z
order_00000007,batch_0001,trader_0006,ETH-USD,SELL,2103.52,7,2026-01-01T00:00:06Z
order_00000008,batch_0001,trader_0007,ETH-USD,SELL,1911.15,349,2026-01-01T00:00:07Z
order_00000009,batch_0001,trader_0013,ETH-USD,SELL,1840.88,345,2026-01-01T00:00:08Z
order_00000010,batch_0001,trader_0009,ETH-USD,BUY,1937.58,868,2026-01-01T00:00:09Z
order_00000011,batch_0001,trader_0004,ETH-USD,SELL,1983.77,748,2026-01-01T00:00:10Z
order_00000012,batch_0001,trader_0010,ETH-USD,SELL,1831.52,388,2026-01-01T00:00:11Z
order_00000013,batch_0001,trader_0012,ETH-USD,SELL,2154.18,634,2026-01-01T00:00:12Z
order_00000014,batch_0001,trader_0022,ETH-USD,SELL,1827.82,722,2026-01-01T00:00:13Z
order_00000015,batch_0001,trader_0008,ETH-USD,BUY,2194.09,297,2026-01-01T00:00:14Z
order_00000016,batch_0001,trader_0021,ETH-USD,SELL,1911.19,390,2026-01-01T00:00:15Z
order_00000017,batch_0001,trader_0007,ETH-USD,SELL,1948.07,167,2026-01-01T00:00:16Z
order_00000018,batch_0001,trader_0021,ETH-USD,SELL,2174.66,719,2026-01-01T00:00:17Z
order_00000019,batch_0001,trader_0024,ETH-USD,BUY,1868.46,651,2026-01-01T00:00:18Z
order_00000020,batch_0001,trader_0021,ETH-USD,BUY,1951.78,474,2026-01-01T00:00:19Z
order_00000021,batch_0001,trader_0025,ETH-USD,SELL,2073.85,225,2026-01-01T00:00:20Z
order_00000022,batch_0001,trader_0011,ETH-USD,SELL,2128.72,235,2026-01-01T00:00:21Z
order_00000023,batch_0001,trader_0019,ETH-USD,BUY,1884.39,68,2026-01-01T00:00:22Z
order_00000024,batch_0001,trader_0016,ETH-USD,SELL,1885.05,323,2026-01-01T00:00:23Z
order_00000025,batch_0001,trader_0005,ETH-USD,BUY,2057.14,937,2026-01-01T00:00:24Z
order_00000026,batch_0001,trader_0018,ETH-USD,BUY,2098.0,253,2026-01-01T00:00:25Z
order_00000027,batch_0001,trader_0019,ETH-USD,BUY,1971.37,599,2026-01-01T00:00:26Z
order_00000028,batch_0001,trader_0005,ETH-USD,BUY,2198.93,225,2026-01-01T00:00:27Z
order_00000029,batch_0001,trader_0004,ETH-USD,SELL,2102.31,94,2026-01-01T00:00:28Z
order_00000030,batch_0001,trader_0014,ETH-USD,BUY,2116.83,164,2026-01-01T00:00:29Z
order_00000031,batch_0001,trader_0015,ETH-USD,SELL,1952.65,395,2026-01-01T00:00:30Z
order_00000032,batch_0001,trader_0001,ETH-USD,SELL,2021.29,995,2026-01-01T00:00:31Z
order_00000033,batch_0001,trader_0018,ETH-USD,SELL,2072.68,118,2026-01-01T00:00:32Z
order_00000034,batch_0001,trader_0004,ETH-USD,SELL,2056.38,788,2026-01-01T00:00:33Z
order_00000035,batch_0001,trader_0024,ETH-USD,BUY,1981.49,162,2026-01-01T00:00:34Z
order_00000036,batch_0001,trader_0025,ETH-USD,SELL,2188.76,270,2026-01-01T00:00:35Z
order_00000037,batch_0001,trader_0021,ETH-USD,BUY,1842.56,935,2026-01-01T00:00:36Z
order_00000038,batch_0001,trader_0007,ETH-USD,BUY,2003.07,655,2026-01-01T00:00:37Z
order_00000039,batch_0001,trader_0025,ETH-USD,BUY,1864.62,781,2026-01-01T00:00:38Z
order_00000040,batch_0001,trader_0011,ETH-USD,SELL,1800.23,941,2026-01-01T00:00:39Z
order_00000041,batch_0001,trader_0010,ETH-USD,BUY,2171.64,115,2026-01-01T00:00:40Z
order_00000042,batch_0001,trader_0003,ETH-USD,BUY,2151.2,247,2026-01-01T00:00:41Z
order_00000043,batch_0001,trader_0025,ETH-USD,BUY,2126.41,498,2026-01-01T00:00:42Z
order_00000044,batch_0001,trader_0016,ETH-USD,SELL,1851.36,129,2026-01-01T00:00:43Z
order_00000045,batch_0001,trader_0020,ETH-USD,SELL,1906.02,170,2026-01-01T00:00:44Z
order_00000046,batch_0001,trader_0025,ETH-USD,BUY,2171.57,217,2026-01-01T00:00:45Z
order_00000047,batch_0001,trader_0013,ETH-USD,SELL,2085.18,206,2026-01-01T00:00:46Z
