order_id,batch_id,trader_id,symbol,side,price,quantity,remaining_quantity,filled_quantity,timestamp
order_00004318,batch_0004,trader_0017,ETH-USD,BUY,1996.61,690,432,258,2026-01-01T01:11:57Z
order_00004096,batch_0004,trader_0020,ETH-USD,BUY,1996.38,542,542,0,2026-01-01T01:08:15Z
order_00002125,batch_0004,trader_0014,ETH-USD,BUY,1996.34,306,306,0,2026-01-01T00:35:24Z
order_00003872,batch_0004,trader_0023,ETH-USD,BUY,1996.32,613,613,0,2026-01-01T01:04:31Z
order_00006309,batch_0004,trader_0019,ETH-USD,BUY,1996.23,160,160,0,2026-01-01T01:45:08Z
order_00004355,batch_0004,trader_0025,ETH-USD,BUY,1995.98,819,819,0,2026-01-01T01:12:34Z
order_00004895,batch_0004,trader_0009,ETH-USD,BUY,1995.85,662,662,0,2026-01-01T01:21:34Z
order_00004989,batch_0004,trader_0022,ETH-USD,BUY,1995.58,568,568,0,2026-01-01T01:23:08Z
order_00001772,batch_0004,trader_0001,ETH-USD,BUY,1995.56,145,145,0,2026-01-01T00:29:31Z
order_00002709,batch_0004,trader_0005,ETH-USD,BUY,1994.96,936,936,0,2026-01-01T00:45:08Z
order_00005474,batch_0004,trader_0009,ETH-USD,BUY,1994.91,286,286,0,2026-01-01T01:31:13Z
order_00001683,batch_0004,trader_0014,ETH-USD,BUY,1994.68,907,907,0,2026-01-01T00:28:02Z
order_00003995,batch_0004,trader_0020,ETH-USD,BUY,1994.67,954,954,0,2026-01-01T01:06:34Z
order_00006046,batch_0004,trader_0007,ETH-USD,BUY,1994.64,147,147,0,2026-01-01T01:40:45Z
order_00004077,batch_0004,trader_0024,ETH-USD,BUY,1994.61,195,195,0,2026-01-01T01:07:56Z
order_00004412,batch_0004,trader_0016,ETH-USD,BUY,1994.61,242,242,0,2026-01-01T01:13:31Z
order_00002895,batch_0004,trader_0023,ETH-USD,BUY,1994.52,619,619,0,2026-01-01T00:48:14Z
order_00001848,batch_0004,trader_0017,ETH-USD,BUY,1994.49,464,464,0,2026-01-01T00:30:47Z
order_00002166,batch_0004,trader_0019,ETH-USD,BUY,1994.44,410,410,0,2026-01-01T00:36:05Z
order_00002726,batch_0004,trader_0025,ETH-USD,BUY,1994.37,289,289,0,2026-01-01T00:45:25Z
order_00005078,batch_0004,trader_0015,ETH-USD,BUY,1994.26,603,603,0,2026-01-01T01:24:37Z
order_00004738,batch_0004,trader_0025,ETH-USD,BUY,1994.11,868,868,0,2026-01-01T01:18:57Z
order_00006276,batch_0004,trader_0008,ETH-USD,BUY,1994.07,203,203,0,2026-01-01T01:44:35Z
order_00003336,batch_0004,trader_0016,ETH-USD,BUY,1993.5,904,904,0,2026-01-01T00:55:35Z
order_00004889,batch_0004,trader_0011,ETH-USD,BUY,1993.32,955,955,0,2026-01-01T01:21:28Z
order_00006448,batch_0004,trader_0002,ETH-USD,BUY,1993.24,556,556,0,2026-01-01T01:47:27Z
order_00006540,batch_0004,trader_0015,ETH-USD,BUY,1993.22,406,406,0,2026-01-01T01:48:59Z
order_00003382,batch_0004,trader_0018,ETH-USD,BUY,1993.2,726,726,0,2026-01-01T00:56:21Z
order_00003027,batch_0004,trader_0003,ETH-USD,BUY,1993.08,749,749,0,2026-01-01T00:50:26Z
order_00005860,batch_0004,trader_0013,ETH-USD,BUY,1992.91,918,918,0,2026-01-01T01:37:39Z
order_00001692,batch_0004,trader_0023,ETH-USD,BUY,1992.61,595,595,0,2026-01-01T00:28:11Z
order_00004489,batch_0004,trader_0020,ETH-USD,BUY,1992.5,126,126,0,2026-01-01T01:14:48Z
order_00006422,batch_0004,trader_0010,ETH-USD,BUY,1992.45,78,78,0,2026-01-01T01:47:01Z
order_00003790,batch_0004,trader_0006,ETH-USD,BUY,1992.37,148,148,0,2026-01-01T01:03:09Z
order_00003762,batch_0004,trader_0012,ETH-USD,BUY,1992.31,586,586,0,2026-01-01T01:02:41Z
order_00004934,batch_0004,trader_0017,ETH-USD,BUY,1992.21,349,349,0,2026-01-01T01:22:13Z
order_00004064,batch_0004,trader_0016,ETH-USD,BUY,1992.18,831,831,0,2026-01-01T01:07:43Z
order_00002798,batch_0004,trader_0019,ETH-USD,BUY,1992.17,143,143,0,2026-01-01T00:46:37Z
order_00002737,batch_0004,trader_0017,ETH-USD,BUY,1991.68,437,437,0,2026-01-01T00:45:36Z
order_00005464,batch_0004,trader_0025,ETH-USD,BUY,1991.5,243,243,0,2026-01-01T01:31:03Z
order_00003203,batch_0004,trader_0004,ETH-USD,BUY,1991.48,408,408,0,2026-01-01T00:53:22Z
order_00005967,batch_0004,trader_0010,ETH-USD,BUY,1991.35,703,703,0,2026-01-01T01:39:26Z
order_00004253,batch_0004,trader_0007,ETH-USD,BUY,1991.31,487,487,0,2026-01-01T01:10:52Z
order_00006458,batch_0004,trader_0013,ETH-USD,BUY,1991.13,813,813,0,2026-01-01T01:47:37Z
order_00003042,batch_0004,trader_0017,ETH-USD,BUY,1990.5,30,30,0,2026-01-01T00:50:41Z
order_00003638,batch_0004,trader_0004,ETH-USD,BUY,1990.41,86,86,0,2026-01-01T01:00:37Z
order_00003413,batch_0004,trader_0001,ETH-USD,BUY,1990.19,169,169,0,2026-01-01T00:56:52Z
