order_id,batch_id,trader_id,symbol,side,price,quantity,timestamp
order_00006601,batch_0005,trader_0013,ETH-USD,SELL,2039.94,737,2026-01-01T01:50:00Z
order_00006602,batch_0005,trader_0013,ETH-USD,SELL,2119.92,176,2026-01-01T01:50:01Z
order_00006603,batch_0005,trader_0017,ETH-USD,BUY,2022.99,16,2026-01-01T01:50:02Z
order_00006604,batch_0005,trader_0004,ETH-USD,BUY,1896.04,18,2026-01-01T01:50:03Z
order_00006605,batch_0005,trader_0006,ETH-USD,BUY,2102.96,651,2026-01-01T01:50:04Z
order_00006606,batch_0005,trader_0009,ETH-USD,SELL,1877.85,432,2026-01-01T01:50:05Z
order_00006607,batch_0005,trader_0020,ETH-USD,BUY,1930.43,224,2026-01-01T01:50:06Z
order_00006608,batch_0005,trader_0009,ETH-USD,BUY,1873.55,667,2026-01-01T01:50:07Z
order_00006609,batch_0005,trader_0016,ETH-USD,BUY,2072.19,535,2026-01-01T01:50:08Z
order_00006610,batch_0005,trader_0024,ETH-USD,SELL,1871.46,84,2026-01-01T01:50:09Z
order_00006611,batch_0005,trader_0022,ETH-USD,SELL,2064.77,830,2026-01-01T01:50:10Z
order_00006612,batch_0005,trader_0012,ETH-USD,BUY,2063.05,167,2026-01-01T01:50:11Z
order_00006613,batch_0005,trader_0003,ETH-USD,BUY,1807.43,611,2026-01-01T01:50:12Z
order_00006614,batch_0005,trader_0015,ETH-USD,SELL,2182.73,160,2026-01-01T01:50:13Z
order_00006615,batch_0005,trader_0009,ETH-USD,BUY,1873.06,10,2026-01-01T01:50:14Z
order_00006616,batch_0005,trader_0023,ETH-USD,SELL,2129.17,415,2026-01-01T01:50:15Z
order_00006617,batch_0005,trader_0025,ETH-USD,BUY,1950.69,625,2026-01-01T01:50:16Z
order_00006618,batch_0005,trader_0010,ETH-USD,BUY,2167.32,136,2026-01-01T01:50:17Z
order_00006619,batch_0005,trader_0025,ETH-USD,BUY,1853.18,326,2026-01-01T01:50:18Z
order_00006620,batch_0005,trader_0012,ETH-USD,SELL,1816.81,316,2026-01-01T01:50:19Z
order_00006621,batch_0005,trader_0017,ETH-USD,BUY,1969.97,783,2026-01-01T01:50:20Z
order_00006622,batch_0005,trader_0015,ETH-USD,SELL,2013.12,717,2026-01-01T01:50:21Z
order_00006623,batch_0005,trader_0022,ETH-USD,SELL,2176.65,798,2026-01-01T01:50:22Z
order_00006624,batch_0005,trader_0023,ETH-USD,BUY,2149.48,249,2026-01-01T01:50:23Z
order_00006625,batch_0005,trader_0018,ETH-USD,BUY,2159.54,899,2026-01-01T01:50:24Z
order_00006626,batch_0005,trader_0019,ETH-USD,BUY,2149.71,361,2026-01-01T01:50:25Z
order_00006627,batch_0005,trader_0012,ETH-USD,BUY,1899.51,511,2026-01-01T01:50:26Z
order_00006628,batch_0005,trader_0005,ETH-USD,BUY,1960.03,730,2026-01-01T01:50:27Z
order_00006629,batch_0005,trader_0014,ETH-USD,SELL,1850.87,984,2026-01-01T01:50:28Z
order_00006630,batch_0005,trader_0020,ETH-USD,BUY,2122.72,413,2026-01-01T01:50:29Z
order_00006631,batch_0005,trader_0010,ETH-USD,SELL,2011.58,994,2026-01-01T01:50:30Z
order_00006632,batch_0005,trader_0010,ETH-USD,SELL,1949.13,133,2026-01-01T01:50:31Z
order_00006633,batch_0005,trader_0022,ETH-USD,SELL,2187.12,497,2026-01-01T01:50:32Z
order_00006634,batch_0005,trader_0009,ETH-USD,SELL,2099.4,139,2026-01-01T01:50:33Z
order_00006635,batch_0005,trader_0006,ETH-USD,BUY,1954.78,538,2026-01-01T01:50:34Z
order_00006636,batch_0005,trader_0001,ETH-USD,SELL,2047.95,578,2026-01-01T01:50:35Z
order_00006637,batch_0005,trader_0015,ETH-USD,BUY,1829.07,408,2026-01-01T01:50:36Z
order_00006638,batch_0005,trader_0006,ETH-USD,SELL,2033.36,583,2026-01-01T01:50:37Z
order_00006639,batch_0005,trader_0019,ETH-USD,BUY,1950.78,354,2026-01-01T01:50:38Z
order_00006640,batch_0005,trader_0005,ETH-USD,SELL,2040.33,971,2026-01-01T01:50:39Z
order_00006641,batch_0005,trader_0024,ETH-USD,SELL,2041.28,755,2026-01-01T01:50:40Z
order_00006642,batch_0005,trader_0018,ETH-USD,SELL,1928.25,221,2026-01-01T01:50:41Z
order_00006643,batch_0005,trader_0018,ETH-USD,SELL,2189.02,886,2026-01-01T01:50:42Z
order_00006644,batch_0005,trader_0020,ETH-USD,SELL,1998.17,728,2026-01-01T01:50:43Z
order_00006645,batch_0005,trader_0001,ETH-USD,BUY,2112.4,939,2026-01-01T01:50:44Z
order_00006646,batch_0005,trader_0006,ETH-USD,BUY,1901.92,253,2026-01-01T01:50:45Z
order_00006647,batch_0005,trader_0009,ETH-USD,BUY,2146.77,971,2026-01-01T01:50:46Z
order_00006648,batch_0005,trader_0011,ETH-USD,SELL,1898.81,833,2026-01-01T01:50:47Z
order_00006649,batch_0005,trader_0025,ETH-USD,BUY,2098.41,541,2026-01-01T01:50:48Z
order_00006650,batch_0005,trader_0013,ETH-USD,SELL,2196.42,159,2026-01-01T01:50:49Z
order_00006651,batch_0005,trader_0010,ETH-USD,BUY,2158.72,5,2026-01-01T01:50:50Z
order_00006652,batch_0005,trader_0023,ETH-USD,BUY,2191.56,669,2026-01-01T01:50:51Z
order_00006653,batch_0005,trader_0020,ETH-USD,BUY,1858.72,409,2026-01-01T01:50:52Z
order_00006654,batch_0005,trader_0010,ETH-USD,SELL,1826.94,967,2026-01-01T01:50:53Z
order_00006655,batch_0005,trader_0002,ETH-USD,SELL,1890.73,678,2026-01-01T01:50:54Z
order_00006656,batch_0005,trader_0003,ETH-USD,SELL,2174.31,749,2026-01-01T01:50:55Z
order_00006657,batch_0005,trader_0017,ETH-USD,BUY,1806.67,122,2026-01-01T01:50:56Z
order_00006658,batch_0005,trader_0021,ETH-USD,SELL,1928.56,508,2026-01-01T01:50:57Z
order_00006659,batch_0005,trader_0019,ETH-USD,SELL,1852.96,482,2026-01-01T01:50:58Z
order_00006660,batch_0005,trader_0022,ETH-USD,SELL,2057.77,446,2026-01-01T01:50:59Z
order_00006661,batch_0005,trader_0022,ETH-USD,BUY,2096.91,164,2026-01-01T01:51:00Z
order_00006662,batch_0005,trader_0001,ETH-USD,SELL,1918.74,139,2026-01-01T01:51:01Z
order_00006663,batch_0005,trader_0005,ETH-USD,BUY,2083.77,993,2026-01-01T01:51:02Z
order_00006664,batch_0005,trader_0008,ETH-USD,BUY,1893.41,188,2026-01-01T01:51:03Z
order_00006665,batch_0005,trader_0014,ETH-USD,BUY,1993.79,955,2026-01-01T01:51:04Z
order_00006666,batch_0005,trader_0020,ETH-USD,BUY,2120.16,966,2026-01-01T01:51:05Z
order_00006667,batch_0005,trader_0013,ETH-USD,SELL,2162.3,573,2026-01-01T01:51:06Z
order_00006668,batch_0005,trader_0025,ETH-USD,BUY,2027.35,961,2026-01-01T01:51:07Z
order_00006669,batch_0005,trader_0002,ETH-USD,SELL,2191.6,997,2026-01-01T01:51:08Z
order_00006670,batch_0005,trader_0018,ETH-USD,SELL,1948.01,878,2026-01-01T01:51:09Z
order_00006671,batch_0005,trader_0022,ETH-USD,BUY,1834.07,5,2026-01-01T01:51:10Z
order_00006672,batch_0005,trader_0015,ETH-USD,BUY,2174.1,644,2026-01-01T01:51:11Z
order_00006673,batch_0005,trader_0017,ETH-USD,SELL,1840.2,419,2026-01-01T01:51:12Z
order_00006674,batch_0005,trader_0005,ETH-USD,BUY,2191.27,342,2026-01-01T01:51:13Z
order_00006675,batch_0005,trader_0021,ETH-USD,SELL,2166.14,668,2026-01-01T01:51:14Z
order_00006676,batch_0005,trader_0001,ETH-USD,SELL,2139.83,298,2026-01-01T01:51:15Z
order_00006677,batch_0005,trader_0016,ETH-USD,BUY,2175.75,815,2026-01-01T01:51:16Z
order_00006678,batch_0005,trader_0008,ETH-USD,BUY,1865.35,728,2026-01-01T01:51:17Z
order_00006679,batch_0005,trader_0022,ETH-USD,SELL,1877.67,673,2026-01-01T01:51:18Z
order_00006680,batch_0005,trader_0001,ETH-USD,SELL,1961.88,871,2026-01-01T01:51:19Z
order_00006681,batch_0005,trader_0021,ETH-USD,BUY,1998.35,502,2026-01-01T01:51:20Z
order_00006682,batch_0005,trader_0012,ETH-USD,BUY,2196.23,509,2026-01-01T01:51:21Z
order_00006683,batch_0005,trader_0019,ETH-USD,BUY,1834.46,430,2026-01-01T01:51:22Z
order_00006684,batch_0005,trader_0005,ETH-USD,SELL,2186.4,184,2026-01-01T01:51:23Z
order_00006685,batch_0005,trader_0019,ETH-USD,SELL,2048.81,854,2026-01-01T01:51:24Z
order_00006686,batch_0005,trader_0017,ETH-USD,SELL,2036.31,73,2026-01-01T01:51:25Z
order_00006687,batch_0005,trader_0007,ETH-USD,BUY,1983.85,216,2026-01-01T01:51:26Z
order_00006688,batch_0005,trader_0010,ETH-USD,BUY,2124.15,189,2026-01-01T01:51:27Z
order_00006689,batch_0005,trader_0020,ETH-USD,BUY,1914.64,460,2026-01-01T01:51:28Z
order_00006690,batch_0005,trader_0001,ETH-USD,BUY,1997.35,278,2026-01-01T01:51:29Z
order_00006691,batch_0005,trader_0005,ETH-USD,BUY,2013.82,982,2026-01-01T01:51:30Z
order_00006692,batch_0005,trader_0001,ETH-USD,SELL,2194.58,323,2026-01-01T01:51:31Z
order_00006693,batch_0005,trader_0003,ETH-USD,SELL,1965.42,482,2026-01-01T01:51:32Z
order_00006694,batch_0005,trader_0016,ETH-USD,SELL,1828.52,623,2026-01-01T01:51:33Z
order_00006695,batch_0005,trader_0025,ETH-USD,SELL,2075.22,941,2026-01-01T01:51:34Z
order_00006696,batch_0005,trader_0008,ETH-USD,SELL,1993.33,92,2026-01-01T01:51:35Z
order_00006697,batch_0005,trader_0019,ETH-USD,SELL,2145.55,171,2026-01-01T01:51:36Z
order_00006698,batch_0005,trader_0007,ETH-USD,BUY,1940.67,275,2026-01-01T01:51:37Z
order_00006699,batch_0005,trader_0003,ETH-USD,SELL,2042.01,38,2026-01-01T01:51:38Z
order_00006700,batch_0005,trader_0012,ETH-USD,SELL,2003.55,363,2026-01-01T01:51:39Z
order_00006701,batch_0005,trader_0024,ETH-USD,BUY,1831.62,760,2026-01-01T01:51:40Z
order_00006702,batch_0005,trader_0015,ETH-USD,SELL,2158.08,329,2026-01-01T01:51:41Z
order_00006703,batch_0005,trader_0013,ETH-USD,BUY,2120.31,736,2026-01-01T01:51:42Z
order_00006704,batch_0005,trader_0004,ETH-USD,SELL,2040.91,255,2026-01-01T01:51:43Z
order_00006705,batch_0005,trader_0016,ETH-USD,SELL,2058.64,49,2026-01-01T01:51:44Z
order_00006706,batch_0005,trader_0008,ETH-USD,BUY,1804.52,292,2026-01-01T01:51:45Z
order_00006707,batch_0005,trader_0010,ETH-USD,SELL,1805.04,821,2026-01-01T01:51:46Z
order_00006708,batch_0005,trader_0009,ETH-USD,BUY,1846.89,320,2026-01-01T01:51:47Z
order_00006709,batch_0005,trader_0023,ETH-USD,SELL,1899.46,780,2026-01-01T01:51:48Z
order_00006710,batch_0005,trader_0018,ETH-USD,SELL,1832.57,183,2026-01-01T01:51:49Z
order_00006711,batch_0005,trader_0013,ETH-USD,BUY,2035.43,215,2026-01-01T01:51:50Z
order_00006712,batch_0005,trader_0024,ETH-USD,SELL,2175.91,786,2026-01-01T01:51:51Z
order_00006713,batch_0005,trader_0018,ETH-USD,BUY,1948.7,527,2026-01-01T01:51:52Z
order_00006714,batch_0005,trader_0021,ETH-USD,SELL,2179.41,701,2026-01-01T01:51:53Z
order_00006715,batch_0005,trader_0015,ETH-USD,SELL,1808.42,762,2026-01-01T01:51:54Z
order_00006716,batch_0005,trader_0011,ETH-USD,SELL,1860.62,13,2026-01-01T01:51:55Z
order_00006717,batch_0005,trader_0013,ETH-USD,BUY,1935.18,715,2026-01-01T01:51:56Z
order_00006718,batch_0005,trader_0007,ETH-USD,BUY,2083.72,448,2026-01-01T01:51:57Z
order_00006719,batch_0005,trader_0024,ETH-USD,SELL,1894.69,740,2026-01-01T01:51:58Z
order_00006720,batch_0005,trader_0007,ETH-USD,BUY,1822.2,205,2026-01-01T01:51:59Z
order_00006721,batch_0005,trader_0001,ETH-USD,SELL,1919.99,480,2026-01-01T01:52:00Z
order_00006722,batch_0005,trader_0025,ETH-USD,SELL,2160.0,520,2026-01-01T01:52:01Z
order_00006723,batch_0005,trader_0017,ETH-USD,SELL,1994.95,443,2026-01-01T01:52:02Z
order_00006724,batch_0005,trader_0002,ETH-USD,SELL,2023.36,620,2026-01-01T01:52:03Z
order_00006725,batch_0005,trader_0023,ETH-USD,SELL,2191.62,43,2026-01-01T01:52:04Z
order_00006726,batch_0005,trader_0018,ETH-USD,BUY,2046.05,717,2026-01-01T01:52:05Z
order_00006727,batch_0005,trader_0010,ETH-USD,SELL,2077.1,843,2026-01-01T01:52:06Z
order_00006728,batch_0005,trader_0022,ETH-USD,SELL,1836.75,81,2026-01-01T01:52:07Z
order_00006729,batch_0005,trader_0013,ETH-USD,SELL,2124.3,149,2026-01-01T01:52:08Z
order_00006730,batch_0005,trader_0018,ETH-USD,BUY,2014.85,344,2026-01-01T01:52:09Z
order_00006731,batch_0005,trader_0013,ETH-USD,BUY,1937.16,49,2026-01-01T01:52:10Z
order_00006732,batch_0005,trader_0020,ETH-USD,BUY,1847.72,674,2026-01-01T01:52:11Z
order_00006733,batch_0005,trader_0015,ETH-USD,SELL,1918.11,34,2026-01-01T01:52:12Z
order_00006734,batch_0005,trader_0005,ETH-USD,SELL,2195.12,689,2026-01-01T01:52:13Z
order_00006735,batch_0005,trader_0016,ETH-USD,BUY,2040.25,232,2026-01-01T01:52:14Z
order_00006736,batch_0005,trader_0009,ETH-USD,SELL,1990.96,488,2026-01-01T01:52:15Z
order_00006737,batch_0005,trader_0024,ETH-USD,BUY,1918.51,286,2026-01-01T01:52:16Z
order_00006738,batch_0005,trader_0018,ETH-USD,SELL,1822.68,809,2026-01-01T01:52:17Z
order_00006739,batch_0005,trader_0021,ETH-USD,SELL,2109.03,696,2026-01-01T01:52:18Z
